Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Oklahoma City Thunder,W,NW,26,5,.839,12.13,115.56,103.47,12.09,11.49,115.62,104.19,11.43
2,Cleveland Cavaliers,E,C,27,4,.871,11.68,122.45,110.84,11.62,9.33,121.31,111.99,9.31
3,Boston Celtics,E,A,23,9,.719,9.38,120.64,111.08,9.56,8.12,120.14,111.76,8.37
4,Memphis Grizzlies,W,SW,22,11,.667,9.21,116.98,108.27,8.71,7.39,116.08,109.18,6.89
5,New York Knicks,E,A,22,10,.688,7.63,120.97,113.15,7.82,5.81,120.43,114.40,6.04
6,Houston Rockets,W,SW,21,11,.656,6.38,112.68,106.60,6.08,6.24,113.49,107.54,5.95
7,Dallas Mavericks,W,SW,20,12,.625,6.13,118.24,112.18,6.06,5.45,118.05,112.67,5.38
8,Denver Nuggets,W,NW,17,13,.567,2.73,117.70,115.10,2.60,3.03,117.74,114.88,2.86
9,Orlando Magic,E,SE,20,14,.588,2.38,109.28,106.69,2.59,2.43,108.86,106.22,2.64
10,Miami Heat,E,SE,16,14,.533,2.33,113.43,111.11,2.32,2.08,113.48,111.38,2.10
11,Los Angeles Clippers,W,P,18,13,.581,2.23,111.27,108.83,2.44,3.16,111.94,108.64,3.30
12,Minnesota Timberwolves,W,NW,17,14,.548,2.13,111.36,109.22,2.14,1.97,110.98,108.99,2.00
13,Golden State Warriors,W,P,16,15,.516,1.55,112.16,110.65,1.51,2.56,113.11,110.66,2.45
14,Milwaukee Bucks,E,C,16,14,.533,1.10,113.34,112.16,1.18,0.87,112.68,111.66,1.02
15,Sacramento Kings,W,P,13,19,.406,0.81,115.26,114.49,0.78,-0.71,114.56,115.32,-0.76
16,San Antonio Spurs,W,SW,16,16,.500,-0.84,112.30,113.08,-0.78,-1.70,111.94,113.61,-1.67
17,Atlanta Hawks,E,SE,18,15,.545,-0.97,113.21,113.98,-0.77,-1.43,112.53,113.73,-1.20
18,Phoenix Suns,W,P,15,16,.484,-1.68,115.03,116.80,-1.77,-1.77,114.98,116.86,-1.88
19,Indiana Pacers,E,C,16,17,.485,-2.06,114.56,116.53,-1.97,-2.41,114.77,117.08,-2.31
20,Los Angeles Lakers,W,P,18,13,.581,-2.10,113.53,115.57,-2.04,-2.36,113.39,115.76,-2.37
21,Detroit Pistons,E,C,14,18,.438,-2.94,112.34,115.23,-2.88,-2.81,111.87,114.60,-2.73
22,Chicago Bulls,E,C,14,18,.438,-3.81,113.27,116.88,-3.61,-2.72,114.06,116.55,-2.49
23,Philadelphia 76ers,E,A,12,17,.414,-3.93,109.41,113.50,-4.09,-3.57,109.89,113.62,-3.73
24,Brooklyn Nets,E,A,12,20,.375,-4.94,110.88,115.95,-5.06,-3.70,111.47,115.28,-3.81
25,Charlotte Hornets,E,SE,7,24,.226,-6.65,108.15,114.98,-6.83,-5.92,108.86,114.90,-6.04
26,Toronto Raptors,E,A,7,25,.219,-6.75,110.75,117.45,-6.70,-5.33,111.01,116.29,-5.28
27,Utah Jazz,W,NW,7,23,.233,-8.73,111.69,120.63,-8.94,-8.07,111.38,119.67,-8.29
28,Portland Trail Blazers,W,NW,11,20,.355,-8.87,109.29,117.84,-8.55,-8.16,109.89,117.83,-7.94
29,New Orleans Pelicans,W,SW,5,27,.156,-11.53,107.20,118.97,-11.77,-9.99,107.47,117.71,-10.24
30,Washington Wizards,E,SE,5,24,.172,-13.83,105.40,118.97,-13.57,-10.68,106.61,117.00,-10.39